name,videoName,frameIndex,id,category,attributes.crowd,attributes.occluded,attributes.truncated,box2d.x1,box2d.x2,box2d.y1,box2d.y2,haveVideo
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107627.0,car,False,False,True,0.0,153.98843930635837,291.32947976878614,423.3195706028076,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107628.0,car,False,True,False,68.37324525185797,306.1932287365813,269.925681255161,380.51197357555736,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107629.0,car,False,True,False,264.5747316267547,398.94302229562345,262.7910817506193,337.70437654830715,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107630.0,car,False,True,False,359.0364517614352,450.074318744839,258.3901148795235,317.4896779521057,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107631.0,car,False,True,False,411.2951266808894,488.7153858208216,246.77707600853364,305.5986787778695,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107632.0,car,False,False,False,563.0388109000826,593.9554087530967,244.95458298926508,269.925681255161,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107633.0,truck,False,True,False,583.2535094962841,601.0900082576383,241.38728323699425,265.16928158546654,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107634.0,car,False,True,False,592.766308835673,612.9810074318744,242.57638315441784,263.9801816680429,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107635.0,car,False,False,False,929.2815854665564,1061.271676300578,230.68538398018163,307.97687861271675,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107636.0,pedestrian,False,True,False,1102.8901734104047,1123.104872006606,204.5251857968621,277.0602807597027,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107637.0,pedestrian,False,True,False,1071.9735755573906,1101.701073492981,202.14698596201487,280.6275805119736,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107638.0,pedestrian,False,True,False,1017.2749793559042,1035.1114781172585,215.22708505367464,233.0635838150289,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107639.0,car,False,True,False,911.4450867052024,989.772044825168,229.49628406275804,262.7910817506193,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107640.0,car,False,False,False,721.1890999174236,811.5606936416185,237.81998348472337,307.97687861271675,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107641.0,car,False,True,False,747.3492981007432,774.6985962014863,229.49628406275804,242.57638315441784,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107642.0,pedestrian,False,True,False,484.1992040376588,498.39291821331307,251.2932577916964,278.3903484906726,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107643.0,pedestrian,False,True,False,485.48954168999103,493.8767364301504,244.84156953003531,257.0997772271913,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107644.0,other vehicle,False,True,False,495.16707408248254,510.0059570843029,260.9707901841879,276.4548420121743,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107645.0,pedestrian,False,False,False,844.7026890636927,862.6274145610654,225.5527958419409,260.655383274296,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107646.0,car,True,True,False,613.5555536839622,647.1043326445994,240.32538774687265,260.9707901841879,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107647.0,car,False,False,False,660.6528779940875,678.0724363005722,240.32538774687265,255.16427074869296,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107648.0,rider,False,True,False,612.5878004447129,620.9749951848722,241.93830981228788,258.0675304664404,True
026c7465-309f6d33-0000001.jpg,026c7465-309f6d33,0,107649.0,car,True,True,False,682.169258346727,744.4925669543724,235.74468908109327,254.0352253029023,True
026c7465-309f6d33-0000002.jpg,026c7465-309f6d33,1,107627.0,car,False,False,True,1.189099917423618,123.07184145334436,303.2204789430224,428.0759702725021,True
026c7465-309f6d33-0000002.jpg,026c7465-309f6d33,1,107628.0,car,False,True,False,31.51114781172582,288.3567299752271,271.1147811725846,388.8356729975227,True
026c7465-309f6d33-0000002.jpg,026c7465-309f6d33,1,107629.0,car,False,True,False,245.5491329479769,388.2411230388109,262.7910817506193,342.4607762180016,True
